ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
30,Jumeirah Village Circle (JVC),1 BR,1,717,3,High-Rise,Semi-Furnished,Pool View,Excellent,2,797000,1112,47000,14533,2022-10-22,3
31,Jumeirah Beach Residence (JBR),4 BR,4,3040,42,Mid-Rise,Unfurnished,City View,Good,0,6987000,2298,554000,61350,2022-09-04,62
32,Jumeirah Lakes Towers (JLT),5+ BR,4,5535,15,High-Rise,Semi-Furnished,Burj Khalifa View,Average,0,9231000,1668,696000,108534,2023-07-05,12
33,Dubai Marina,5+ BR,5,4470,46,High-Rise,Semi-Furnished,Park View,New,0,12560000,2810,726000,99892,2024-05-09,143
34,Al Barsha,3 BR,2,1973,7,Villa Compound,Furnished,Park View,Good,2,2157000,1093,140000,38069,2023-11-17,138
35,Dubai Hills Estate,5+ BR,5,3198,39,Villa Compound,Furnished,Canal View,Excellent,0,8150000,2548,660000,72689,2022-05-13,45
36,Remraam,3 BR,3,1698,46,High-Rise,Unfurnished,Garden View,Excellent,0,1472000,867,99000,30345,2023-10-22,15
37,Mirdif,2 BR,2,1323,8,Mid-Rise,Furnished,Sea View,Excellent,2,1299000,982,81000,29948,2023-03-29,141
38,Jumeirah Village Circle (JVC),Studio,1,454,28,Mid-Rise,Semi-Furnished,City View,Good,0,542000,1194,31000,6440,2023-09-12,152
39,Oud Metha,3 BR,3,1723,38,Low-Rise,Unfurnished,Garden View,Excellent,0,1784000,1035,101000,37534,2022-03-20,71
40,Dubailand,5+ BR,6,5301,9,Villa Compound,Furnished,Pool View,New,2,4925000,929,394000,71747,2024-04-04,105
41,Al Quoz,1 BR,1,622,22,Mid-Rise,Semi-Furnished,Sea View,Excellent,2,638000,1026,39000,10137,2024-07-13,15
42,Deira,1 BR,1,735,19,Villa Compound,Semi-Furnished,City View,Good,1,604000,822,34000,11275,2025-01-31,145
43,Dubai South,1 BR,1,879,51,High-Rise,Furnished,Sea View,Average,2,766000,871,48000,21581,2024-12-18,83
44,Dubai Marina,4 BR,3,3026,19,Low-Rise,Semi-Furnished,Sea View,Good,0,7115000,2351,425000,68349,2023-10-22,150
45,Business Bay,3 BR,2,1630,11,Villa Compound,Unfurnished,Pool View,Excellent,1,2857000,1753,234000,30338,2022-03-12,173
46,Bur Dubai,5+ BR,5,4790,49,Serviced Apartment,Furnished,Pool View,Good,2,4492000,938,364000,111422,2024-01-21,83
47,Dubai Marina,3 BR,2,2046,38,Villa Compound,Furnished,Burj Khalifa View,Excellent,2,6630000,3240,397000,40867,2022-09-20,172
48,Jumeirah Beach Residence (JBR),3 BR,3,1569,52,Mid-Rise,Furnished,Burj Khalifa View,Average,1,4085000,2604,267000,26868,2024-05-13,80
49,Al Jaddaf,5+ BR,6,5714,11,High-Rise,Semi-Furnished,Sea View,Excellent,0,7994000,1399,521000,140616,2025-03-07,81
50,Dubailand,3 BR,3,1737,38,High-Rise,Semi-Furnished,Garden View,Good,1,1540000,887,98000,32728,2022-11-29,102
51,Jumeirah Village Circle (JVC),5+ BR,5,4284,42,Serviced Apartment,Furnished,Pool View,New,0,6463000,1509,476000,54985,2025-01-01,37
52,Al Barsha,Studio,1,522,4,High-Rise,Unfurnished,Garden View,New,0,550000,1054,40000,10261,2024-11-12,85
53,Oud Metha,2 BR,2,1242,11,High-Rise,Unfurnished,Park View,New,1,1398000,1126,109000,26431,2022-01-24,160
54,Oud Metha,Studio,1,622,46,Low-Rise,Semi-Furnished,Burj Khalifa View,Good,1,747000,1201,54000,13834,2023-05-11,4
55,Bur Dubai,4 BR,3,2818,58,Low-Rise,Furnished,Canal View,Good,0,3564000,1265,271000,48866,2022-04-13,158
56,Al Quoz,3 BR,2,1659,58,Serviced Apartment,Furnished,Park View,Average,2,1535000,925,87000,27164,2025-04-04,79
57,Damac Hills,3 BR,2,1537,21,Mid-Rise,Semi-Furnished,Burj Khalifa View,Average,0,1844000,1200,121000,21938,2025-04-01,173
58,Bur Dubai,5+ BR,4,5152,42,Villa Compound,Semi-Furnished,Sea View,Average,1,5142000,998,360000,86469,2023-04-24,15
59,Al Jaddaf,4 BR,4,2814,36,High-Rise,Semi-Furnished,Canal View,New,2,4783000,1700,298000,34764,2022-06-04,22
60,Arjan,1 BR,1,673,9,Serviced Apartment,Furnished,Park View,Excellent,0,721000,1071,45000,14384,2023-02-20,76
61,Dubai Silicon Oasis,3 BR,3,1532,54,High-Rise,Furnished,Burj Khalifa View,Excellent,0,2079000,1357,117000,37607,2022-12-23,96
62,Al Nahda,Studio,1,524,55,Villa Compound,Furnished,Street View,Average,2,501000,956,36000,7009,2022-01-09,50
63,Damac Hills,3 BR,3,1459,43,Low-Rise,Furnished,Garden View,Average,2,1963000,1345,147000,34954,2024-05-17,60
64,Dubai South,Studio,1,439,39,Mid-Rise,Furnished,City View,Good,0,442000,1007,37000,6863,2022-12-10,117
65,Business Bay,2 BR,2,1050,29,Mid-Rise,Furnished,Burj Khalifa View,Average,2,2155000,2052,130000,15750,2022-12-29,159
66,Dubai Silicon Oasis,5+ BR,4,3395,54,Mid-Rise,Furnished,Park View,Excellent,2,4322000,1273,336000,43881,2024-05-14,86
67,Al Quoz,1 BR,1,853,58,Low-Rise,Semi-Furnished,Burj Khalifa View,Average,1,805000,944,45000,13000,2023-02-22,68
68,Dubai South,4 BR,3,2255,24,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Average,1,1774000,787,126000,54829,2023-05-10,24
69,Remraam,5+ BR,4,3675,36,Villa Compound,Unfurnished,Burj Khalifa View,Average,0,3293000,896,265000,56607,2023-11-30,29
70,Oud Metha,5+ BR,5,4652,49,High-Rise,Furnished,Canal View,New,1,6911000,1486,518000,85852,2022-03-28,176
71,Dubai Silicon Oasis,Studio,1,461,39,High-Rise,Semi-Furnished,Burj Khalifa View,New,1,629000,1364,40000,9151,2022-11-20,28
72,Dubai South,2 BR,2,1417,35,Serviced Apartment,Semi-Furnished,Park View,New,0,1352000,954,109000,33832,2023-07-18,174
73,Dubai Hills Estate,2 BR,2,1484,40,Low-Rise,Furnished,Sea View,New,2,4013000,2704,313000,35846,2022-01-02,91
74,Jumeirah Beach Residence (JBR),1 BR,1,729,45,High-Rise,Semi-Furnished,Pool View,New,0,2166000,2971,151000,12870,2024-05-10,15
75,Jumeirah Beach Residence (JBR),1 BR,1,905,56,Villa Compound,Unfurnished,City View,Excellent,1,2174000,2402,144000,13498,2022-06-23,124
76,Bur Dubai,3 BR,2,1867,5,Low-Rise,Unfurnished,Garden View,New,0,1758000,942,133000,46406,2024-12-16,133
77,Dubai South,4 BR,4,3202,23,Mid-Rise,Unfurnished,Park View,Good,1,2087000,652,143000,57599,2023-03-29,114
78,Mirdif,Studio,1,612,15,High-Rise,Furnished,City View,Excellent,0,602000,984,39000,11422,2022-06-16,145
79,Dubai South,5+ BR,6,5508,22,High-Rise,Furnished,Park View,Average,2,3836000,696,232000,69552,2025-01-27,179
80,Bur Dubai,3 BR,3,1528,21,Villa Compound,Semi-Furnished,Street View,Good,1,1234000,808,90000,35429,2022-02-13,31
81,Al Barsha,4 BR,4,2402,6,Villa Compound,Semi-Furnished,Park View,New,1,2631000,1095,157000,49282,2025-01-16,29
82,Downtown Dubai,5+ BR,4,4075,53,High-Rise,Semi-Furnished,Garden View,Excellent,2,12381000,3038,773000,50375,2023-06-08,180
83,Jumeirah Lakes Towers (JLT),Studio,1,582,5,Mid-Rise,Unfurnished,Garden View,Excellent,2,805000,1383,65000,8864,2024-06-16,151
84,Palm Jumeirah,Studio,1,417,27,High-Rise,Semi-Furnished,Street View,New,2,1514000,3631,90000,5865,2023-09-02,112
85,Mirdif,2 BR,2,1293,38,Villa Compound,Semi-Furnished,Canal View,New,1,1544000,1194,102000,18906,2022-10-04,32
86,Oud Metha,1 BR,1,893,4,Villa Compound,Unfurnished,Sea View,Good,0,914000,1024,66000,10736,2023-06-09,66
87,Deira,1 BR,1,877,54,High-Rise,Unfurnished,Burj Khalifa View,Average,2,687000,783,42000,13514,2022-12-24,25
88,Jumeirah Village Circle (JVC),4 BR,4,2673,58,Mid-Rise,Unfurnished,Pool View,Excellent,1,3357000,1256,210000,39654,2023-09-22,149
89,Damac Hills,1 BR,1,773,17,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,2,1084000,1402,86000,10834,2023-08-31,148
90,Downtown Dubai,4 BR,4,2078,35,Villa Compound,Semi-Furnished,Burj Khalifa View,New,2,6811000,3278,390000,36003,2022-02-24,63
91,Business Bay,Studio,1,564,25,Mid-Rise,Semi-Furnished,Park View,Average,2,894000,1585,54000,9213,2022-01-12,144
92,Al Nahda,5+ BR,6,3245,1,Low-Rise,Semi-Furnished,Pool View,New,2,2752000,848,213000,44746,2024-02-10,154
93,Al Barsha,3 BR,2,1777,57,Villa Compound,Unfurnished,City View,Excellent,1,2224000,1252,132000,34099,2024-06-02,3
94,Dubai Hills Estate,Studio,1,486,60,Serviced Apartment,Semi-Furnished,Sea View,Average,0,1042000,2144,75000,10680,2023-11-03,91
95,Bur Dubai,1 BR,1,653,29,Low-Rise,Semi-Furnished,Street View,New,2,603000,923,42000,14626,2023-06-22,175
96,Oud Metha,2 BR,2,1498,17,Mid-Rise,Unfurnished,Street View,Excellent,2,1524000,1017,123000,23543,2024-10-25,147
97,Oud Metha,Studio,1,438,32,High-Rise,Unfurnished,Sea View,Average,0,507000,1158,37000,8316,2022-09-06,109
98,International City,3 BR,2,1525,36,Low-Rise,Furnished,Pool View,New,0,1131000,742,65000,29132,2023-06-15,3
99,Al Quoz,2 BR,2,1151,31,High-Rise,Unfurnished,Sea View,New,1,1338000,1162,80000,28758,2022-04-29,166
100,DIFC,Studio,1,570,51,High-Rise,Unfurnished,Sea View,Average,2,1742000,3056,114000,8763,2022-01-09,124
101,Dubai Marina,5+ BR,6,5589,50,Villa Compound,Unfurnished,Pool View,Average,0,11692000,2092,898000,111930,2024-04-04,36
102,Dubailand,1 BR,1,608,52,Mid-Rise,Unfurnished,Sea View,New,0,650000,1069,43000,14251,2024-12-12,60
103,Jumeirah Lakes Towers (JLT),2 BR,2,1388,40,Low-Rise,Furnished,Street View,Average,2,2360000,1700,181000,18333,2023-09-11,127
104,Jumeirah Beach Residence (JBR),2 BR,2,961,42,High-Rise,Semi-Furnished,Pool View,Good,0,2349000,2444,186000,14493,2024-05-27,99
105,Al Quoz,3 BR,2,1877,32,High-Rise,Unfurnished,Street View,Average,2,1418000,755,92000,42012,2022-10-25,58
106,Damac Hills,Studio,1,591,35,Serviced Apartment,Unfurnished,City View,Average,2,685000,1159,48000,9112,2023-01-09,20
107,Damac Hills,1 BR,1,844,34,Villa Compound,Unfurnished,Park View,Good,1,1088000,1289,92000,17617,2024-08-09,50
108,Remraam,4 BR,3,3226,19,Low-Rise,Unfurnished,Street View,Excellent,1,2468000,765,201000,72614,2024-09-06,86
109,Business Bay,1 BR,1,761,54,Low-Rise,Unfurnished,Park View,Excellent,0,1680000,2208,119000,9376,2023-10-12,91
110,Remraam,1 BR,1,743,48,Mid-Rise,Furnished,Sea View,Excellent,0,831000,1118,54000,13172,2022-12-20,98
111,Al Jaddaf,3 BR,3,1558,29,High-Rise,Semi-Furnished,Park View,New,2,2011000,1291,164000,20449,2025-04-25,86
112,Al Jaddaf,3 BR,3,1795,35,High-Rise,Unfurnished,Sea View,Average,2,2174000,1211,121000,36981,2022-09-07,53
113,Al Jaddaf,4 BR,4,2088,35,Villa Compound,Unfurnished,Park View,Excellent,2,2390000,1145,134000,50386,2022-07-30,79
114,Oud Metha,2 BR,2,971,41,Serviced Apartment,Furnished,Pool View,New,0,1127000,1161,71000,12718,2022-01-21,136
115,DIFC,4 BR,3,3163,31,Serviced Apartment,Unfurnished,Pool View,Average,0,8220000,2599,495000,69223,2024-05-28,49
116,DIFC,1 BR,1,712,12,High-Rise,Semi-Furnished,City View,Good,1,1842000,2587,151000,15540,2023-06-30,167
117,Jumeirah Lakes Towers (JLT),Studio,1,539,28,Serviced Apartment,Unfurnished,Canal View,Average,2,834000,1547,61000,8361,2024-06-24,89
118,Al Barsha,2 BR,2,1471,32,Serviced Apartment,Unfurnished,Garden View,Excellent,2,1655000,1125,117000,18212,2025-03-08,66
119,Jumeirah Beach Residence (JBR),Studio,1,515,30,Low-Rise,Semi-Furnished,Pool View,New,0,1535000,2981,126000,8972,2022-12-24,51
120,Bur Dubai,1 BR,1,796,10,Low-Rise,Furnished,Canal View,Good,2,829000,1041,50000,12581,2023-05-10,54
121,Al Jaddaf,2 BR,2,1013,34,High-Rise,Semi-Furnished,Burj Khalifa View,Excellent,2,1428000,1410,90000,24358,2022-11-24,38
122,Dubai Silicon Oasis,3 BR,3,2130,33,Mid-Rise,Semi-Furnished,Pool View,Good,0,2039000,957,142000,42872,2024-06-08,133
123,Al Nahda,Studio,1,534,48,Serviced Apartment,Furnished,Park View,Excellent,1,602000,1127,48000,6452,2025-02-27,119
124,DIFC,3 BR,3,2028,42,Low-Rise,Furnished,Park View,Average,1,5427000,2676,374000,42950,2023-02-19,26
125,Palm Jumeirah,Studio,1,361,2,Villa Compound,Furnished,Sea View,Excellent,1,1485000,4114,117000,6721,2024-01-25,49
126,Palm Jumeirah,Studio,1,412,11,Mid-Rise,Semi-Furnished,Garden View,New,0,1482000,3597,90000,7677,2022-01-08,24
127,Al Quoz,1 BR,1,659,4,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,0,593000,900,42000,12582,2022-02-05,124
128,Al Jaddaf,2 BR,2,1079,23,Serviced Apartment,Unfurnished,Sea View,Good,1,1369000,1269,87000,23144,2025-04-02,63
129,Bur Dubai,Studio,1,545,35,Mid-Rise,Semi-Furnished,Canal View,New,2,655000,1202,36000,11530,2023-11-26,38
130,Dubai South,2 BR,2,1010,60,Low-Rise,Unfurnished,Pool View,Average,0,655000,649,53000,19995,2025-04-16,55
131,Dubai Creek Harbour,Studio,1,617,33,Mid-Rise,Furnished,Sea View,Average,1,1411000,2287,90000,11009,2023-04-28,5
132,Dubai Silicon Oasis,1 BR,1,876,51,Villa Compound,Unfurnished,Pool View,Good,1,899000,1026,62000,13737,2022-11-09,135
133,Mirdif,4 BR,4,2361,27,Serviced Apartment,Semi-Furnished,Pool View,Excellent,2,2236000,947,179000,39626,2022-08-13,135
134,Al Quoz,Studio,1,583,11,Low-Rise,Semi-Furnished,Street View,Good,2,458000,786,26000,12075,2024-11-17,68
135,Dubai Creek Harbour,5+ BR,5,4322,55,Low-Rise,Unfurnished,Street View,Good,2,7660000,1772,500000,52488,2022-08-06,161
136,Dubai Creek Harbour,1 BR,1,681,58,Low-Rise,Furnished,Street View,New,0,1373000,2016,103000,16299,2023-03-15,61
137,International City,5+ BR,6,3081,54,High-Rise,Furnished,Sea View,Good,1,2416000,784,187000,41253,2025-05-02,178
138,Damac Hills,Studio,1,377,14,Low-Rise,Unfurnished,Park View,New,2,507000,1345,39000,6018,2022-11-03,68
139,Dubai Marina,2 BR,2,1146,53,High-Rise,Unfurnished,City View,New,0,2829000,2469,212000,25416,2023-04-08,124
140,Mirdif,1 BR,1,615,7,Mid-Rise,Furnished,City View,Excellent,2,585000,951,45000,8328,2022-06-04,123
141,Dubai Creek Harbour,3 BR,3,1552,51,Serviced Apartment,Semi-Furnished,Sea View,Good,0,3100000,1997,228000,25341,2024-06-12,32
142,Jumeirah Village Circle (JVC),Studio,1,531,54,Low-Rise,Semi-Furnished,Burj Khalifa View,Excellent,0,764000,1439,57000,9803,2023-09-08,120
143,Al Quoz,5+ BR,5,4212,30,High-Rise,Semi-Furnished,City View,Excellent,1,4126000,980,323000,95265,2022-07-04,159
144,Mirdif,5+ BR,4,3100,8,Low-Rise,Unfurnished,Garden View,New,0,2951000,952,194000,49274,2025-05-29,58
145,Dubai Silicon Oasis,Studio,1,583,33,Low-Rise,Semi-Furnished,Garden View,Average,2,579000,993,41000,7071,2024-03-27,37
146,DIFC,Studio,1,563,10,Serviced Apartment,Unfurnished,Canal View,Excellent,1,1824000,3240,155000,7063,2023-09-11,139
147,Business Bay,3 BR,2,2089,55,Villa Compound,Furnished,Canal View,Excellent,1,6011000,2877,383000,32201,2024-06-16,76
148,Dubai Hills Estate,Studio,1,389,34,Low-Rise,Semi-Furnished,Pool View,Excellent,0,824000,2118,51000,8669,2024-10-01,38
149,Oud Metha,5+ BR,4,5300,45,Low-Rise,Furnished,Canal View,New,1,8077000,1524,482000,109990,2024-06-04,3
150,Arjan,4 BR,3,3272,60,Low-Rise,Unfurnished,Garden View,New,0,3946000,1206,225000,78525,2024-08-03,70
151,Jumeirah Beach Residence (JBR),5+ BR,6,4361,33,Villa Compound,Unfurnished,Burj Khalifa View,Good,1,10694000,2452,595000,86794,2023-01-15,165
152,Dubailand,2 BR,2,1344,40,Villa Compound,Furnished,Park View,Good,2,1324000,985,106000,29874,2024-06-15,73
153,Oud Metha,5+ BR,4,5835,21,High-Rise,Semi-Furnished,Park View,Good,2,5844000,1002,463000,95569,2024-05-04,63
154,Deira,1 BR,1,947,55,Mid-Rise,Semi-Furnished,City View,Average,0,683000,721,45000,22181,2023-06-21,24
155,Dubai Marina,1 BR,1,745,52,Low-Rise,Furnished,City View,New,0,2110000,2832,143000,11446,2023-02-14,106
156,Al Barsha,2 BR,2,1469,18,Low-Rise,Unfurnished,Park View,Good,2,1506000,1025,84000,28528,2022-04-30,135
157,Jumeirah Beach Residence (JBR),4 BR,4,2779,31,Villa Compound,Semi-Furnished,Sea View,New,2,8080000,2908,446000,65406,2023-06-20,143
158,Oud Metha,4 BR,3,3400,46,Low-Rise,Furnished,City View,Average,1,3876000,1140,295000,44975,2023-05-01,27
159,Palm Jumeirah,3 BR,2,1781,31,Low-Rise,Semi-Furnished,Sea View,Excellent,0,8155000,4579,493000,25468,2022-05-10,177
160,Al Jaddaf,5+ BR,5,3302,16,Mid-Rise,Furnished,City View,Excellent,1,4796000,1452,333000,43257,2023-08-02,103
161,Arjan,Studio,1,624,36,High-Rise,Furnished,Garden View,New,1,794000,1272,64000,8942,2023-03-25,148
162,Al Quoz,2 BR,2,1184,38,Serviced Apartment,Unfurnished,Canal View,New,0,1425000,1204,108000,22367,2025-03-04,116
163,Al Nahda,5+ BR,6,3537,45,Villa Compound,Unfurnished,Canal View,Good,1,3544000,1002,206000,59312,2023-07-16,22
164,Dubai Hills Estate,2 BR,2,1483,37,Mid-Rise,Unfurnished,City View,Good,0,2974000,2005,187000,27929,2024-05-22,121
165,Deira,4 BR,4,2648,36,High-Rise,Unfurnished,Park View,Average,1,1832000,692,127000,51362,2024-05-01,7
166,Palm Jumeirah,Studio,1,513,18,Low-Rise,Semi-Furnished,Garden View,Average,2,1368000,2667,91000,10520,2022-06-06,131
167,Oud Metha,4 BR,4,2095,16,High-Rise,Furnished,Pool View,New,1,2573000,1228,184000,39254,2025-03-30,60
168,Oud Metha,3 BR,3,1459,5,Villa Compound,Semi-Furnished,Sea View,Average,1,1628000,1116,122000,22876,2022-12-01,149
169,Jumeirah Lakes Towers (JLT),Studio,1,618,22,High-Rise,Unfurnished,Garden View,New,0,979000,1584,81000,7703,2023-09-11,66
170,Dubai Marina,5+ BR,6,4215,28,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,0,9694000,2300,738000,61331,2025-01-30,74
171,Dubai Creek Harbour,1 BR,1,893,47,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,2,1922000,2152,109000,14403,2024-01-21,162
172,Remraam,2 BR,2,1015,46,Villa Compound,Furnished,Garden View,Excellent,0,919000,905,58000,23597,2024-09-09,149
173,Al Jaddaf,3 BR,2,2031,56,High-Rise,Furnished,Sea View,Good,2,2909000,1432,197000,48516,2024-10-03,62
174,Dubai South,2 BR,2,1494,19,Serviced Apartment,Furnished,Burj Khalifa View,New,0,1684000,1127,114000,20158,2022-05-18,151
175,Al Barsha,5+ BR,5,5962,32,Mid-Rise,Unfurnished,Canal View,New,2,8273000,1388,607000,144160,2024-09-20,165
176,Arjan,2 BR,2,1406,47,Villa Compound,Semi-Furnished,Sea View,Average,1,1605000,1142,124000,32151,2023-02-06,56
177,International City,Studio,1,354,55,Low-Rise,Furnished,Street View,Excellent,2,260000,734,20000,7258,2024-04-20,121
178,International City,4 BR,4,2640,26,High-Rise,Semi-Furnished,Garden View,Average,2,1348000,511,92000,56532,2025-03-24,1
179,Dubai Marina,Studio,1,470,41,Villa Compound,Semi-Furnished,Sea View,Good,2,1045000,2223,68000,7537,2024-12-10,20
180,Bur Dubai,1 BR,1,871,5,Villa Compound,Semi-Furnished,City View,New,1,878000,1008,52000,11798,2022-07-12,2
181,Dubai Silicon Oasis,2 BR,2,1301,32,High-Rise,Semi-Furnished,Sea View,New,2,1931000,1484,154000,27533,2024-04-22,126
182,Dubai Silicon Oasis,3 BR,2,1900,50,High-Rise,Furnished,Canal View,Good,0,2162000,1138,162000,23907,2023-10-19,5
183,Jumeirah Lakes Towers (JLT),1 BR,1,887,1,Serviced Apartment,Semi-Furnished,Park View,Good,1,1229000,1386,68000,19721,2024-06-19,176
184,Arjan,4 BR,3,2608,36,Villa Compound,Unfurnished,Garden View,Average,1,2420000,928,202000,62191,2023-12-15,112
185,Business Bay,4 BR,3,2633,42,Mid-Rise,Unfurnished,Park View,Excellent,1,5794000,2201,443000,51041,2024-11-24,163
186,Downtown Dubai,2 BR,2,998,41,Mid-Rise,Furnished,Garden View,New,1,3531000,3538,223000,19514,2024-04-05,95
187,Downtown Dubai,4 BR,4,2986,42,Mid-Rise,Furnished,Canal View,Average,0,9471000,3172,704000,67592,2024-06-14,6
188,Jumeirah Village Circle (JVC),5+ BR,4,3510,24,High-Rise,Semi-Furnished,Pool View,Excellent,1,4031000,1148,261000,69451,2022-04-21,151
189,Dubailand,Studio,1,579,4,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,1,564000,974,46000,11861,2023-12-03,59
190,Dubai Silicon Oasis,3 BR,2,1640,2,Mid-Rise,Unfurnished,Pool View,New,2,1549000,945,118000,29165,2023-06-05,180
191,Oud Metha,4 BR,3,2937,26,Mid-Rise,Furnished,Pool View,Good,0,3209000,1093,231000,65452,2025-01-25,141
192,International City,1 BR,1,846,10,Serviced Apartment,Unfurnished,Street View,New,0,473000,559,36000,11944,2025-01-23,20
193,Dubai Silicon Oasis,2 BR,2,1081,59,Serviced Apartment,Furnished,Park View,New,0,1305000,1207,104000,18534,2022-11-01,125
194,Dubai Hills Estate,2 BR,2,1234,3,Serviced Apartment,Semi-Furnished,Park View,Average,0,2053000,1664,123000,18726,2022-06-07,169
195,Bur Dubai,2 BR,2,1117,30,High-Rise,Furnished,Park View,Average,1,1099000,984,84000,23938,2025-05-04,56
196,Deira,Studio,1,418,59,Serviced Apartment,Unfurnished,Park View,Average,1,314000,751,22000,8913,2022-03-19,37
197,Downtown Dubai,Studio,1,487,21,Low-Rise,Unfurnished,Sea View,Average,0,1083000,2224,84000,8142,2023-01-24,36
198,Remraam,5+ BR,6,4194,12,Mid-Rise,Furnished,Garden View,Good,1,3308000,789,218000,100043,2022-11-10,22
199,Palm Jumeirah,2 BR,2,1013,5,Mid-Rise,Semi-Furnished,Park View,Excellent,2,3099000,3059,218000,18056,2023-01-01,177
200,Al Nahda,4 BR,3,2931,27,Villa Compound,Furnished,Garden View,Average,0,2343000,799,140000,51420,2023-01-28,46
201,Business Bay,5+ BR,6,4659,29,High-Rise,Semi-Furnished,Garden View,Average,1,8500000,1824,582000,81383,2023-08-07,52
